,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
10234,40377124,JP'S WATERSIDE RESTAURANT,BRONX,703,MINNIEFORD AVE,10464,7188853364,Seafood,2015-03-25,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-03-25,2015-08-14,Cycle Inspection / Initial Inspection
10288,40377164,ROGERS IRISH TAVERN,QUEENS,203,BEACH  116 STREET,11694,7186345308,Irish,2015-04-03,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-04-03,2015-08-14,Cycle Inspection / Re-inspection
10299,40377243,JOHN & JOE PIZZERIA & RESTAURANT,BRONX,749,LYDIG AVENUE,10462,7184099776,Pizza/Italian,2015-06-22,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-06-22,2015-08-14,Cycle Inspection / Re-inspection
10329,40377262,SUNSET PIZZERIA,STATEN ISLAND,645,ROSSVILLE AVENUE                                  ,10309,7183565918,Pizza/Italian,2014-12-29,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,13.0,A,2014-12-29,2015-08-14,Cycle Inspection / Initial Inspection
10342,40377294,MCDONALD'S,QUEENS,7002,COPPER AVENUE                                                                                       ,11385,7184970722,Hamburgers,2015-04-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-04-23,2015-08-14,Cycle Inspection / Initial Inspection
10373,40377299,UTOPIA RESTAURANT,MANHATTAN,267,AMSTERDAM AVENUE,10023,2128736233,American ,2015-07-08,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,5.0,A,2015-07-08,2015-08-14,Cycle Inspection / Re-inspection
10409,40377325,JACKSON HOLE,MANHATTAN,521,THIRD AVENUE                                      ,10016,2126793264,American ,2015-05-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2015-05-29,2015-08-14,Cycle Inspection / Initial Inspection
10421,40377385,NAPOLI PIZZA,QUEENS,16402,69 AVENUE,11365,7183801172,Italian,2015-07-10,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,13.0,A,2015-07-10,2015-08-14,Cycle Inspection / Re-inspection
10455,40377506,VESUVIO RESTAURANT & PIZZA,BROOKLYN,7303,3 AVENUE                                          ,11209,7187450222,Pizza/Italian,2015-07-22,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,26.0,Z,2015-07-22,2015-08-14,Cycle Inspection / Re-inspection
10480,40377560,WESTERN BAKERY,QUEENS,22813,MERRICK BOULEVARD,11413,7185253201,Caribbean,2015-05-08,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2015-05-08,2015-08-14,Cycle Inspection / Initial Inspection
10497,40377630,JOHNS CAFE & RESTURANT,MANHATTAN,823,SECOND AVENUE                                     ,10017,2128674955,American ,2014-12-04,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,Critical,12.0,A,2014-12-04,2015-08-14,Cycle Inspection / Initial Inspection
10539,40377698,KARAVAS PLACE,MANHATTAN,162,WEST    4 STREET                                  ,10014,2122438007,Greek,2014-12-18,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2014-12-18,2015-08-14,Cycle Inspection / Initial Inspection
10564,40377789,CAFE LUXEMBOURG,MANHATTAN,200,WEST   70 STREET                                  ,10023,2128737411,French,2015-04-24,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,25.0,Z,2015-04-24,2015-08-14,Cycle Inspection / Re-inspection
10580,40377908,WINDJAMMERS BAR,QUEENS,552,GRANDVIEW AVENUE                                  ,11385,7188219779,American ,2015-03-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-03-26,2015-08-14,Cycle Inspection / Initial Inspection
10597,40378035,DUNKIN' DONUTS/BASKIN' ROBBINS,QUEENS,15367,HORACE HARDING EXPRESSWAY,11367,7183584031,Donuts,2015-07-15,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,24.0,Z,2015-07-15,2015-08-14,Cycle Inspection / Re-inspection
10623,40378136,BROADWAY RESTAURANT,MANHATTAN,2664,BROADWAY,10025,2128657074,American ,2015-07-28,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
10681,40378190,NARITA JAPANESE RESTAURANT,QUEENS,10708,70 ROAD,11375,7182632999,Japanese,2015-08-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-08-10,2015-08-14,Cycle Inspection / Re-inspection
10712,40378212,CUCHIFRITO,MANHATTAN,168,EAST  116 STREET                                  ,10029,2128764846,Mexican,2015-02-02,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-02-02,2015-08-14,Cycle Inspection / Initial Inspection
10742,40378272,MARY ANN'S,MANHATTAN,116,8 AVENUE                                          ,10011,2126330877,Mexican,2015-05-19,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,41.0,Z,2015-05-19,2015-08-14,Cycle Inspection / Re-inspection
10802,40378328,RED ROSE,BROOKLYN,315,SMITH STREET,11231,7186250963,Italian,2015-01-02,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,17.0,B,2015-01-02,2015-08-14,Cycle Inspection / Re-inspection
10829,40378347,TONY'S PIZZA,BRONX,1014,LONGWOOD AVENUE,10459,7185420586,Pizza,2015-07-20,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
10875,40378383,FIORENTINO RISTORANTE,BROOKLYN,313,AVENUE U,11223,7183721445,Italian,2015-05-19,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
10935,40378534,PORT O' CALLS,QUEENS,9310,WOODHAVEN BOULEVARD,11421,7188469717,American ,2015-02-10,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
10944,40378571,IL CANTINORI RESTAURAUNT,MANHATTAN,32,EAST   10 STREET                                  ,10003,2126736044,Italian,2015-05-19,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2015-05-19,2015-08-14,Cycle Inspection / Re-inspection
10970,40378579,ANDREWS COFFEE SHOP,MANHATTAN,463,7 AVENUE,10018,2126951962,American ,2015-07-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,2015-07-10,2015-08-14,Cycle Inspection / Initial Inspection
10994,40378585,MIKE'S PUB,QUEENS,7919,JAMAICA AVENUE,11421,7182969682,American ,2015-04-02,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,26.0,B,2015-04-02,2015-08-14,Cycle Inspection / Re-inspection
11027,40378719,THE CLUBHOUSE,QUEENS,6121,FRESH POND ROAD,11379,7188218338,American ,2014-11-25,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2014-11-25,2015-08-14,Cycle Inspection / Initial Inspection
11033,40378729,KANG SUH KOREAN RESTAURANT,MANHATTAN,1250,BROADWAY                                                                                            ,10001,2125646845,Korean,2015-06-02,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-06-02,2015-08-14,Cycle Inspection / Re-inspection
11072,40378774,FAME DINER,QUEENS,6967,GRAND AVENUE,11378,7184784674,American ,2015-01-20,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5.0,A,2015-01-20,2015-08-14,Cycle Inspection / Initial Inspection
11086,40378796,KNIGHTS OF BARON DEKALB,BROOKLYN,3000,EMMONS AVENUE,11235,7187436626,American ,2015-06-03,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4.0,A,2015-06-03,2015-08-14,Cycle Inspection / Re-inspection
11113,40378822,UNION HALL,STATEN ISLAND,502,HENDERSON AVE,10310,7184422133,American ,2015-02-05,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,A,2015-02-05,2015-08-14,Cycle Inspection / Initial Inspection
11138,40378827,KOSHER HUT OF BROOKLYN,BROOKLYN,709,KINGS HIGHWAY                                     ,11223,7183768996,Jewish/Kosher,2015-08-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21.0,Z,2015-08-06,2015-08-14,Cycle Inspection / Re-inspection
11163,40378874,TERRA BLUES,MANHATTAN,149,BLEEKER STREET,10012,2127777776,American ,2015-08-12,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,2015-08-12,2015-08-14,Cycle Inspection / Re-inspection
11208,40378970,CAESAR'S PALACE,MANHATTAN,493,AMSTERDAM AVENUE,10024,2127247886,Pizza,2015-03-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-03-24,2015-08-14,Cycle Inspection / Initial Inspection
11219,40379026,FLAMINGO,QUEENS,8512,ROOSEVELT AVENUE,11372,7186061633,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-04-08,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2015-04-08,2015-08-14,Cycle Inspection / Initial Inspection
11228,40379149,MONTE'S,MANHATTAN,97,MACDOUGAL STREET                                  ,10012,2122289194,Italian,2015-04-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26.0,Z,2015-04-01,2015-08-14,Cycle Inspection / Re-inspection
11255,40379304,GOTHAM BAR & GRILL,MANHATTAN,12,EAST   12 STREET,10003,2126204026,American ,2015-06-02,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2015-06-02,2015-08-14,Cycle Inspection / Re-inspection
11269,40379355,MCALEER'S PUB,MANHATTAN,425,AMSTERDAM AVENUE                                  ,10024,2123627867,Irish,2014-09-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,2014-09-29,2015-08-14,Cycle Inspection / Initial Inspection
11317,40379566,LONDON LENNIES,QUEENS,6388,WOODHAVEN BOULEVARD,11374,7188948084,Seafood,2015-04-16,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2015-04-16,2015-08-14,Cycle Inspection / Re-inspection
11332,40379573,DUNKIN' DONUTS,BRONX,4090,BOSTON POST ROAD,10475,7183248842,Donuts,2015-06-18,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8.0,A,2015-06-18,2015-08-14,Cycle Inspection / Initial Inspection
11341,40379580,COOPER TOWN DINER,MANHATTAN,339,1 AVENUE                                          ,10003,2126779287,American ,2014-10-28,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2014-10-28,2015-08-14,Cycle Inspection / Initial Inspection
11376,40379620,DELMONICO'S KITCHEN,MANHATTAN,207,WEST   36 STREET                                  ,10018,2126955220,American ,2015-05-26,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,24.0,Z,2015-05-26,2015-08-14,Cycle Inspection / Re-inspection
11398,40379628,HASAKI RESTAURANT,MANHATTAN,210,EAST 9 TH STREET                                  ,10003,2124733327,Japanese,2015-04-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2015-04-01,2015-08-14,Cycle Inspection / Initial Inspection
11418,40379647,IMPERIAL COFFEE HOUSE,MANHATTAN,108,CHAMBERS STREET                                   ,10007,2122336593,American ,2015-02-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2015-02-13,2015-08-14,Cycle Inspection / Initial Inspection
11426,40379662,MEZZALUNA,MANHATTAN,1295,THIRD AVENUE,10021,2125359600,Italian,2015-06-26,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,23.0,,,2015-08-14,Cycle Inspection / Initial Inspection
11451,40379746,RESTUARANT NIPPON,MANHATTAN,155,EAST   52 STREET                                  ,10022,2126885941,Japanese,2015-02-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
11465,40379890,O'HARA'S,MANHATTAN,120,CEDAR STREET                                      ,10006,2122673032,American ,2015-03-23,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6.0,A,2015-03-23,2015-08-14,Cycle Inspection / Initial Inspection
11489,40379894,AQUEDUCT NORTH,BRONX,4277,KATONAH AVE,10470,7183241497,Irish,2014-10-06,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-10-06,2015-08-14,Cycle Inspection / Initial Inspection
11509,40379897,MCDONALD'S,MANHATTAN,1560,BROADWAY                                                                                            ,10036,2129218900,Hamburgers,2015-01-13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2015-01-13,2015-08-14,Cycle Inspection / Initial Inspection
11538,40379920,E.A.T. CAFE,MANHATTAN,1064,MADISON AVENUE,10028,2127720022,American ,2015-02-23,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,10.0,A,2015-02-23,2015-08-14,Cycle Inspection / Initial Inspection
11569,40379994,YANKEE CLIPPER,QUEENS,0,LAGUARDIA AIRPORT BLDG,11371,7184768859,American ,2015-04-23,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,11.0,A,2015-04-23,2015-08-14,Cycle Inspection / Re-inspection
11613,40380044,REX MANOR,BROOKLYN,1100,60 STREET                                         ,11219,7188543232,American ,2015-02-25,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,2015-02-25,2015-08-14,Cycle Inspection / Initial Inspection
11650,40380164,CUCHIFRITOS,BRONX,158,E. 188 TH ST,10468,9175436575,Spanish,2014-12-11,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2014-12-11,2015-08-14,Cycle Inspection / Initial Inspection
11686,40380182,CLUB 101,MANHATTAN,101,PARK AVENUE,10013,2128180263,American ,2015-03-12,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,9.0,A,2015-03-12,2015-08-14,Cycle Inspection / Initial Inspection
11703,40380253,RIVERDALE DINER,BRONX,3657,KINGSBRIDGE AVENUE                                ,10463,7188846050,American ,2014-09-25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10.0,A,2014-09-25,2015-08-14,Cycle Inspection / Initial Inspection
11743,40380422,CARLOS PIZZA,QUEENS,7402,METROPOLITAN AVENUE,11379,7188947915,Pizza,2014-12-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2014-12-23,2015-08-14,Cycle Inspection / Initial Inspection
11760,40380432,THE BITTER END,MANHATTAN,147,BLEECKER STREET                                   ,10012,2126737030,American ,2015-06-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-06-04,2015-08-14,Cycle Inspection / Re-inspection
11790,40380457,ARRIBA ARRIBA,MANHATTAN,762,9 AVENUE                                          ,10019,2124890810,Mexican,2014-12-29,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,9.0,A,2014-12-29,2015-08-14,Cycle Inspection / Initial Inspection
11796,40380464,GEIDO RESTAURANT,BROOKLYN,331,FLATBUSH AVENUE,11217,7186368866,Japanese,2015-06-04,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,22.0,,,2015-08-14,Cycle Inspection / Initial Inspection
11833,40380517,BARNEY GREENGRASS,MANHATTAN,541,AMSTERDAM AVENUE                                  ,10024,2127244707,American ,2014-08-27,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2014-08-27,2015-08-14,Cycle Inspection / Initial Inspection
11859,40380518,PETROSSIAN RESTAURAUNT,MANHATTAN,182,WEST 58 TH STREET                                 ,10019,2122452214,French,2015-04-01,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,10.0,A,2015-04-01,2015-08-14,Cycle Inspection / Initial Inspection
11883,40380520,ANNAM BRAHAM RESTAURANT,QUEENS,8443,164 STREET,11432,7185232600,Indian,2014-11-28,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,4.0,A,2014-11-28,2015-08-14,Cycle Inspection / Initial Inspection
11903,40380559,SUPERNOVA-NOVOTEL HOTEL,MANHATTAN,226,WEST 52 ND STREET                                 ,10019,2123150100,American ,2015-05-04,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10.0,A,2015-05-04,2015-08-14,Cycle Inspection / Initial Inspection
11927,40380592,MONTERO BAR & GRILL,BROOKLYN,73,ATLANTIC AVENUE,11201,6467294129,American ,2015-03-11,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2015-03-11,2015-08-14,Cycle Inspection / Initial Inspection
11945,40380628,PISA PIZZERIA,QUEENS,6568,MYRTLE AVENUE,11385,7183816368,Pizza/Italian,2015-06-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2015-06-10,2015-08-14,Cycle Inspection / Re-inspection
11969,40380648,PORTO BELLO RESTAURANT,MANHATTAN,208,THOMPSON STREET,10012,2124737794,Italian,2015-07-06,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,25.0,Z,2015-07-06,2015-08-14,Cycle Inspection / Re-inspection
11994,40380657,PETE'S CLAM STOP,BROOKLYN,1320,SURF AVENUE                                       ,11224,7183720302,Seafood,2015-04-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-04-22,2015-08-14,Cycle Inspection / Initial Inspection
12025,40380660,BURRITO LOCO,MANHATTAN,166,WEST    4 STREET                                  ,10014,2126751977,Tex-Mex,2015-02-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
12047,40380826,FIT CAFETERIA (BUILDING D) (8th ave),MANHATTAN,227,WEST   27 STREET                                  ,10001,2122175770,American ,2015-02-17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,A,2015-02-17,2015-08-14,Cycle Inspection / Initial Inspection
12059,40380996,SMILING PIZZA,BROOKLYN,323,7 AVENUE                                          ,11215,7187882137,Pizza,2015-04-21,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,7.0,A,2015-04-21,2015-08-14,Cycle Inspection / Re-inspection
12087,40381083,RIVERHEAD GENTLEMEN'S CLUB,QUEENS,4508,VERNON BOULEVARD,11101,7183927664,American ,2015-05-12,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,8.0,A,2015-05-12,2015-08-14,Cycle Inspection / Initial Inspection
12118,40381210,SYMPOSIUM GREEK RESTAURANT,MANHATTAN,544,WEST  113 STREET,10025,2128651011,Greek,2015-06-25,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65å¼ F or above within 2 hours.,Critical,7.0,A,2015-06-25,2015-08-14,Cycle Inspection / Re-inspection
12142,40381344,NINA'S RESTAURANT PIZZERIA,BROOKLYN,635,MEEKER AVE,11222,7183898854,Pizza/Italian,2015-05-11,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,A,2015-05-11,2015-08-14,Cycle Inspection / Re-inspection
12173,40381420,VILLAGE YOKOCHO,MANHATTAN,6,STUYVESANT STREET,10003,2125983041,Japanese,2015-06-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,26.0,Z,2015-06-02,2015-08-14,Cycle Inspection / Re-inspection
12223,40381551,CLARK'S RESTAURANT,BROOKLYN,80,CLARK STREET                                      ,11201,7188555484,American ,2015-05-08,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2015-05-08,2015-08-14,Cycle Inspection / Initial Inspection
12249,40381595,PIETROS,MANHATTAN,232,EAST   43 STREET                                  ,10017,2126829760,Italian,2015-02-13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2015-02-13,2015-08-14,Cycle Inspection / Initial Inspection
12277,40381720,MISS LILY'S 7A,MANHATTAN,109,AVENUE A,10009,2128121482,Caribbean,2015-05-07,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,2015-08-14,Smoke-Free Air Act / Compliance Inspection
12312,40381752,NOHO STAR RESTAURANT,MANHATTAN,330,LAFAYETTE STREET                                  ,10012,2129250070,American ,2015-03-30,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,2015-03-30,2015-08-14,Cycle Inspection / Re-inspection
12329,40381797,ROSA MEXICANO,MANHATTAN,1063,FIRST AVENUE                                      ,10022,2127537407,Mexican,2015-02-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-02-25,2015-08-14,Cycle Inspection / Initial Inspection
12355,40381811,DUFFY'S,STATEN ISLAND,650,FOREST AVENUE                                     ,10310,7184479276,American ,2015-05-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-05-20,2015-08-14,Cycle Inspection / Initial Inspection
12363,40381896,UNO CHICAGO GRILL,QUEENS,10716,70 ROAD,11375,7187936700,Italian,2015-05-21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-05-21,2015-08-14,Cycle Inspection / Re-inspection
12402,40382052,LATOURETTE GOLF COURSE,STATEN ISLAND,1001,RICHMOND HILL ROAD                                ,10306,7183511889,American ,2015-03-17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-03-17,2015-08-14,Cycle Inspection / Initial Inspection
12415,40382057,DYKER BEACH GOLF (GRILL ROOM),BROOKLYN,1020,86th Street,11228,7188369722,American ,2014-11-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2014-11-25,2015-08-14,Cycle Inspection / Initial Inspection
12439,40382147,GLENDA'S RESTAURANT,BROOKLYN,854,ST JOHNS PLACE                                    ,11216,7187781997,Caribbean,2014-10-11,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2014-10-11,2015-08-14,Cycle Inspection / Initial Inspection
12474,40382246,MY FATHER'S PLACE,BROOKLYN,1861,CROPSEY AVENUE                                    ,11214,7183729286,American ,2015-03-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-03-26,2015-08-14,Cycle Inspection / Initial Inspection
